rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2601.07821v1,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,arXiv,http://arxiv.org/abs/2601.07821v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.1109/case59546.2024.10711845,Vision-language model-driven scene understanding and robotic object manipulation,2024,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),https://doi.org/10.1109/case59546.2024.10711845,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2205.08316v2,Self-Supervised Learning of Multi-Object Keypoints for Robotic Manipulation,2022,arXiv,http://arxiv.org/abs/2205.08316v2,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
4,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.3390/buildings15183254,Study of Failure Mode and Ultimate Bearing Capacity for Self-Centering SMA Connection,2025,Buildings,https://doi.org/10.3390/buildings15183254,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
6,arxiv:2602.16356v1,Articulated 3D Scene Graphs for Open-World Mobile Manipulation,2026,arXiv,http://arxiv.org/abs/2602.16356v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.20944/preprints202606.0400.v1,Vision-Language-Action and Vision Language Models for Robot Manipulation: A Comprehensive Review Towards Real-World Applications,,,https://doi.org/10.20944/preprints202606.0400.v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.52783/jisem.v10i50s.10219,Self-Supervised Learning for Generalizable AI: Bridging the Gap Between Pretraining and Real-World Deployment,2025,Journal of Information Systems Engineering and Management,https://doi.org/10.52783/jisem.v10i50s.10219,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.65455/ddjkhy91,A Comprehensive Survey of Deep Learning–Based Object Tracking for Augmented Reality in Complex Real-World Scenes,2026,Applied Artificial Intelligence Research,https://doi.org/10.65455/ddjkhy91,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2511.09516v1,MAP-VLA: Memory-Augmented Prompting for Vision-Language-Action Model in Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2511.09516v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
11,doi:10.1109/lra.2021.3130377,Sample-Efficient Learning of Deformable Linear Object Manipulation in the Real World Through Self-Supervision,2022,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2021.3130377,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.1108/ijhcqa-09-2015-0113,Use of failure mode effect analysis (FMEA) to improve medication management process,2017,International Journal of Health Care Quality Assurance,https://doi.org/10.1108/ijhcqa-09-2015-0113,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.3390/s26113541,Sensing the Action: Rethinking Sensor Modalities and Multi-Modal Fusion in Vision–Language–Action Models for Robotic Manipulation,2026,Sensors,https://doi.org/10.3390/s26113541,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
14,arxiv:2506.23126v4,"ParticleFormer: A 3D Point Cloud World Model for Multi-Object, Multi-Material Robotic Manipulation",2025,arXiv,http://arxiv.org/abs/2506.23126v4,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.1177/02783649241257537,ASIMO: Agent-centric scene representation in multi-object manipulation,2025,The International Journal of Robotics Research,https://doi.org/10.1177/02783649241257537,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1016/j.cirp.2022.04.048,On deformable object handling: Model-based motion planning for human-robot co-manipulation,2022,CIRP Annals,https://doi.org/10.1016/j.cirp.2022.04.048,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1145/3803538,Align-to-Scale: Mode Switching Technique for Unimanual 3D Object Manipulation with Gaze-Hand-Object Alignment in Extended Reality,2026,Proceedings of the ACM on Computer Graphics and Interactive Techniques,https://doi.org/10.1145/3803538,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.1016/j.engstruct.2019.05.048,Load-carrying capacity and mode failure simulation of beam-column joint connection: Application of self-tuning machine learning model,2019,Engineering Structures,https://doi.org/10.1016/j.engstruct.2019.05.048,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.1609/aaai.v40i5.37337,Rethinking Progression of Memory State in Robotic Manipulation: An Object-Centric Perspective,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i5.37337,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
20,arxiv:2606.03385v1,Grasp-Then-Plan with Failure Attribution: A Closed Two-Stage Framework for Precise and Generalizable Robotic Manipulation,2026,arXiv,http://arxiv.org/abs/2606.03385v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
21,arxiv:2306.05716v5,Transferring Foundation Models for Generalizable Robotic Manipulation,2023,arXiv,http://arxiv.org/abs/2306.05716v5,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.3390/s22166167,Failure Mode Detection and Validation of a Shaft-Bearing System with Common Sensors,2022,Sensors,https://doi.org/10.3390/s22166167,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.1016/j.engstruct.2021.112151,Parametric analysis and failure mode of steel plate shear wall with self-centering braces,2021,Engineering Structures,https://doi.org/10.1016/j.engstruct.2021.112151,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.1177/0021998312456409,Comparison between experimental and theoretical results using Cuntze’s “failure mode concept” model for composites under triaxial loadings—Part B of the second world-wide failure exercise,2013,Journal of Composite Materials,https://doi.org/10.1177/0021998312456409,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
25,arxiv:2305.08351v1,Enabling Failure Recovery for On-The-Move Mobile Manipulation,2023,arXiv,http://arxiv.org/abs/2305.08351v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1177/02783649251369549,Open scene graphs for open-world object-goal navigation,2025,The International Journal of Robotics Research,https://doi.org/10.1177/02783649251369549,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1609/aaai.v40i11.37859,Free-Form Scene Editor: Enabling Multi-Round Object Manipulation Like in a 3D Engine,2026,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v40i11.37859,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
28,arxiv:2603.13825v1,Building Explicit World Model for Zero-Shot Open-World Object Manipulation,2026,arXiv,http://arxiv.org/abs/2603.13825v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
29,arxiv:2509.04645v1,Planning from Point Clouds over Continuous Actions for Multi-object Rearrangement,2025,arXiv,http://arxiv.org/abs/2509.04645v1,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.3390/sym18030394,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,2026,Symmetry,https://doi.org/10.3390/sym18030394,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.1108/jsm-05-2023-0169,Call it robot: anthropomorphic framing and failure of self-service technologies,2024,Journal of Services Marketing,https://doi.org/10.1108/jsm-05-2023-0169,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.1109/lra.2024.3500882,DINO-MOT: 3D Multi-Object Tracking With Visual Foundation Model for Pedestrian Re-Identification Using Visual Memory Mechanism,2025,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2024.3500882,Addresses robot scene memory and manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Object permanence under self occlusion keeps action-critical alternatives explicit until a physical observation collapses them.
